# aligned companion of POSNoise_PatternList_It_v1.0.txt; evidence: UD_Italian-ISDT (14167 sentences)
# entry	upos	class	evidence_count
's	PART	PART	26
sua	DET	DET	401
subito	ADV	ADV	61
sue	DET	DET	112
suo	DET	DET	1040
suoi	DET	DET	153
sè	PRON	PRON	11
sé	PRON	PRON	11
tal	DET	DET	25
tale	DET	DET	192
tali	DET	DET	68
taluni	DET	DET	6
talvolta	ADV	ADV	5
tanta	DET	DET	8
tante	DET	DET	8
tanti	DET	DET	24
tanto	ADV	ADV	88
tardi	ADV	ADV	12
te	PRON	PRON	23
tenere	VERB	LVERB	171
the	DET	DET	29
ti	PRON	PRON	62
totalmente	ADV	ADV	8
tra	ADP	ADP	391
tra di	ADP	MWE	391
tramite	ADP	ADP	23
tranne	ADP	ADP	7
troppe	DET	DET	6
troppo	ADV	ADV	77
trovare	VERB	LVERB	276
tu	PRON	PRON	17
tua	DET	DET	15
tuo	DET	DET	56
tuoi	DET	DET	16
tutta	DET	DET	72
tuttavia	ADV	ADV	80
tutte	DET	DET	102
tutti	DET	DET	290
tutto	DET	DET	688
un	DET	DET	2526
un'	DET	DET	341
una	DET	DET	1718
uni	PRON	PRON	8
unicamente	ADV	ADV	2
uno	DET	DET	4883
un’	DET	DET	18
vari	ADJ	OTH	27
varie	ADJ	OTH	22
vedere	VERB	LVERB	481
venire	AUX	AUX	466
verso	ADP	ADP	123
vi	PRON	PRON	128
vicino	NOUN	OTH	125
vicino a	NOUN	MWE	125
voi	PRON	PRON	14
volere	AUX	AUX	246
